,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
473,Sinc Bucina,Noise Engineering,"['Envelope Generator', 'VCA', 'Low Pass Gate', 'Function Generator', 'Slew Limiter']",4,26.0,45.0,40.0,0.0,182.0,3587,4.62,13.0,Available,1
474,Ts-L,Instruō,"['Oscillator', 'Waveshaper']",6,42.0,80.0,75.0,0.0,250.0,3581,4.35,17.0,Available,1
475,995,Behringer,['Attenuator'],8,35.0,78.1,35.6,0.0,49.0,3568,2.92,13.0,Available,0
476,Chronoblob,Alright Devices,"['Delay', 'Effect', 'Digital']",10,30.0,90.0,30.0,0.0,225.0,3559,4.53,53.0,Discontinued,1
477,A-138nV,Doepfer,"['Mixer', 'Quad']",4,30.0,10.0,10.0,0.0,60.0,3557,4.12,8.0,Available,0
478,Chaos,Clank,"['Clock Generator', 'CV Modulation', 'LFO', 'Random', 'Sample and Hold', 'Sequencer', 'Quantizer', 'Digital']",12,24.0,115.0,0.0,0.0,399.0,3551,4.88,25.0,Available,1
479,STMix (DIY Kit),Befaco,"['Dual/Stereo', 'Mixer']",6,20.0,8.0,10.0,0.0,70.0,3550,4.4,15.0,Available,0
480,Delta-V,Cosmotronic,"['Envelope Generator', 'LFO', 'Slew Limiter', 'VCA', 'Mixer', 'Function Generator']",10,20.0,70.0,70.0,0.0,229.0,3541,4.72,54.0,Available,1
481,LRMSMSLR (Black and gold panel),WORNG Electronics,"['Mixer', 'Panning', 'Polarizer', 'Utility', 'Dual/Stereo']",4,37.0,30.0,30.0,0.0,70.0,3540,4.64,28.0,Available,1
482,A-140v,Doepfer,['Envelope Generator'],8,50.0,20.0,20.0,0.0,95.0,3539,4.33,15.0,Available,0
483,DUAL BORG,Malekko Heavy Industry,"['Filter', 'Low Pass Gate', 'Dual/Stereo', 'VCA']",16,25.0,80.0,0.0,0.0,288.0,3538,4.5,58.0,Available,0
484,Praga,Xaoc Devices,"['Mixer', 'Panning', 'VCA', 'Dual/Stereo', 'Quad']",20,45.0,210.0,180.0,0.0,460.0,3534,4.77,26.0,Available,1
485,Moskwa,Xaoc Devices,"['Sequencer', 'Clock Generator', 'Slew Limiter', 'Random', 'TrueGrid']",20,20.0,50.0,50.0,0.0,280.0,3534,4.44,54.0,Discontinued,0
486,A-135-1,Doepfer,"['Mixer', 'Quad', 'VCA']",18,45.0,60.0,60.0,0.0,145.0,3532,4.26,31.0,Available,0
487,E440 Discrete OTA VCF,Synthesis Technology,['Filter'],14,32.0,23.0,23.0,0.0,375.0,3530,4.6,67.0,Discontinued,0
488,Vortices,Steady State Fate,"['Distortion', 'Mixer', 'Panning', 'VCA']",16,24.0,110.0,105.0,0.0,351.0,3528,4.69,16.0,Available,1
489,Wave Multipliers Serge modular,Random*Source,"['VCA', 'Waveshaper', 'Mixer']",18,40.0,45.0,40.0,0.0,300.0,3527,4.62,39.0,Available,0
