,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
7268,BLM Lunar Modulation Lab VCO,Blue Lantern Modules,"['LFO', 'Oscillator']",18,32.0,91.0,61.0,,290.0,73,2.5,2.0,Available,0
7269,F-110 Alternative Black Panel,Ladik,"['Filter', 'Equalizer']",4,,25.0,12.0,,59.0,73,5.0,1.0,Available,0
7270,DRIP,dsp.coffee,"['Dual/Stereo', 'Filter']",8,,35.0,35.0,,190.0,73,,,Available,0
7271,Kaseta (Black),Zlosynth Instruments,"['Delay', 'Distortion', 'Dual/Stereo', 'Oscillator', 'Sequencer']",20,28.0,117.0,8.0,0.0,260.0,73,5.0,1.0,Available,1
7272,VOYAGER,Something Modular,['Filter'],8,33.0,37.0,31.0,0.0,149.0,73,5.0,2.0,Available,1
7273,Blister,NONO Modular,['Expander'],14,25.0,,,,1.0,73,,,Available,1
7274,Slimline Passive Fader,CatSynth,['Attenuator'],2,14.0,,,,14.0,73,,,Available,1
7275,Stable,Syntonie,['Video'],16,42.0,310.0,0.0,0.0,399.0,73,5.0,1.0,Available,0
7276,Mixing Flask,ThreeTom Modular,"['Distortion', 'Mixer', 'PreAmp', 'Utility']",4,36.0,36.0,36.0,0.0,129.0,73,,,Available,0
7277,A-139 (Discontinued),Doepfer,['External'],8,,100.0,,0.0,55.0,72,3.5,2.0,Discontinued,0
7278,CVM2,Analogue Solutions,['MIDI'],10,74.0,0.0,0.0,30.0,,72,4.5,2.0,Discontinued,0
7279,RS-30,Analogue Systems,"['Envelope Follower', 'External']",12,,110.0,110.0,0.0,,72,2.67,3.0,Discontinued,0
7280,VC-FC Forward Compressor,Cwejman,"['External', 'Dynamics']",18,,70.0,70.0,0.0,,72,5.0,2.0,,0
7281,Mute,L-1,"['Mixer', 'Expander']",8,20.0,55.0,10.0,0.0,108.0,72,5.0,1.0,Available,0
7282,PCV2,CG Products,['Utility'],6,18.0,,,,52.0,72,,,,0
