,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
6328,VOYAGER,Something Modular,['Filter'],8,33.0,37.0,31.0,0.0,149.0,73,5.0,2.0,Available,1
6329,PCV2,CG Products,['Utility'],6,18.0,,,,52.0,72,,0.0,,0
6330,Nonlinear Circuits Sloth - Magpie black panel,Nonlinearcircuits,['LFO'],4,,20.0,,,76.0,72,,0.0,Available,0
6331,Crux,River,"['VCA', 'Dual/Stereo']",6,32.0,23.0,23.0,0.0,165.0,72,4.0,1.0,Discontinued,0
6332,Oberheim Mini Sequencer,Marion Systems Corporation,"['Clock Generator', 'MIDI', 'Sequencer']",34,,,,,626.0,72,,0.0,,0
6333,ICSn,Clatters,"['Multiple', 'Utility']",2,29.0,16.0,16.0,0.0,75.0,72,,0.0,Available,1
6334,Air-Wave Modulation Source,Holocene Electronics,"['LFO', 'Noise', 'Random', 'Sample and Hold']",10,22.0,87.0,35.0,,213.0,72,,0.0,Available,1
6335,POLY EG/LFO,Mazzatron,"['Envelope Generator', 'LFO', 'Quad']",6,33.0,70.0,50.0,0.0,194.0,72,5.0,1.0,Available,1
6336,AI012 Wave Animator Silver,AI Synthesis,"['CV Modulation', 'Expander', 'LFO', 'Oscillator', 'Sequencer', 'Waveshaper']",8,35.0,13.0,13.0,0.0,81.0,72,,0.0,Available,1
6337,1050 Mix-Sequencer Master,CMS,"['Clock Generator', 'Mixer', 'Sequencer']",14,,,,,694.0,72,,0.0,Available,0
6338,Sproom DSP,NoisyFruitsLab,"['Delay', 'Digital', 'Dual/Stereo', 'Effect', 'Reverb']",8,42.0,92.0,23.0,,190.0,72,,0.0,Available,1
6339,Dual A+B-C,Foxing Hour,"['Logic', 'Mixer', 'Utility', 'Video']",4,47.0,35.0,30.0,0.0,20.0,72,,0.0,Available,0
6340,SUM MIX & PAN,ST Modular,"['Mixer', 'Panning', 'VCA', 'Dual/Stereo', 'Quad']",18,,92.0,78.0,0.0,,72,,0.0,Available,0
6341,DDK,Blue Lantern Modules,"['Envelope Generator', 'VCA', 'Dual/Stereo']",8,32.0,28.0,28.0,,98.0,72,,0.0,Available,0
6342,Saw,Centrevillage,['Oscillator'],2,35.0,20.0,20.0,0.0,77.0,72,5.0,2.0,Available,0
6343,Euro Bananas,Syntax,"['Utility', 'External', 'Multiple']",6,12.0,,,,90.0,72,,0.0,Available,0
6344,CVM2,Analogue Solutions,['MIDI'],10,74.0,0.0,0.0,30.0,,72,4.5,2.0,Discontinued,0
6345,RS-30,Analogue Systems,"['Envelope Follower', 'External']",12,,110.0,110.0,0.0,,72,2.67,3.0,Discontinued,0
6346,MUN,Nonlinearcircuits,"['CV Modulation', 'Effect', 'Envelope Generator', 'Filter']",22,,,,0.0,42.0,72,,0.0,Available,0
6347,Shibuya,Razmasynth,"['Clock Generator', 'LFO']",8,34.0,6.0,9.0,19.0,89.0,72,5.0,1.0,,0
6348,Pro OUT,Olitronik Circuits,"['External', 'Utility']",6,38.0,,,,79.0,72,5.0,2.0,Discontinued,0
6349,Grendel - Drone Commander 2 (2020) - Silver Panel,Rare Waves,"['Oscillator', 'Synth Voice']",35,72.0,120.0,2.0,,678.0,72,4.5,2.0,Available,0
6350,Tricay,ST Modular,"['CV Modulation', 'Envelope Generator', 'Function Generator']",6,25.0,38.0,15.0,0.0,,72,,0.0,Available,0
6351,CATPAW black,Catoff,"['Attenuator', 'CV Modulation']",3,26.0,10.0,10.0,0.0,50.0,72,5.0,1.0,Discontinued,1
6352,Gimme Some Kick Drum,Blue Lantern Modules,['Drum'],10,32.0,28.0,23.0,,107.0,72,,0.0,Available,0
6353,Major Tom Expander,NONO Modular,['Expander'],14,35.0,,,,290.0,72,,0.0,Available,1
6354,Sequencer - Quad Gate/CV,Morphor,"['Clock Generator', 'CV Modulation', 'Random', 'Sequencer', 'Utility']",4,33.0,95.0,11.0,123.0,239.0,72,,0.0,Available,0
